href,href_url,Brand,Item,is_men
1169062,/capri-linen-blend-blazer-1169062.html,Blazer,Capri Linen Blend Blazer,True
1064899,/oregon-coat-1064899.html,SABA,Oregon Coat,True
628105,/new-tommy-yacht-jacket-628105.html,Tommy Hilfiger,New Tommy Yacht Jacket,True
1111457,/venture-2-jacket-1111457.html,The North Face,Venture 2 Jacket,True
684036,/leather-biker-jacket-684036.html,Jack &amp; Jones,Leather Biker Jacket,True
513742,/men-s-resolve-2-jacket-513742.html,The North Face,Men's Resolve 2 Jacket,True
998441,/sst-track-jacket-998441.html,adidas Originals,SST Track Jacket,True
552217,/bligh-car-coat-552217.html,Staple Superior,Bligh Car Coat,True
1150153,/leroy-cord-chore-jacket-1150153.html,Stussy,Leroy Cord Chore Jacket,True
1133185,/wellington-bomber-jacket-1133185.html,Staple Superior,Wellington Bomber Jacket,True
724812,/hooded-windrunner-jacket-724812.html,Nike,Hooded Windrunner Jacket,True
677413,/dri-fit-full-zip-yoga-training-hoodie-677413.html,Nike,Dri-FIT Full-Zip Yoga Training Hoodie,True
907732,/echo-quilt-puffer-jacket-907732.html,Superdry,Echo Quilt Puffer Jacket,True
963465,/heritage-windrunner-woven-jacket-unisex-963465.html,Nike,Heritage Windrunner Woven Jacket - Unisex,True
1169019,/superdry-moody-light-bomber-jacket-1169019.html,Superdry,Superdry Moody Light Bomber Jacket,True
1001018,/rochester-puffer-jacket-1001018.html,Champion,Rochester Puffer Jacket,True
1035870,/denim-bomber-jacket-1035870.html,Commune,Denim Bomber Jacket,True
567181,/livorno-slim-fit-royal-suit-567181.html,Kelly Country,Livorno Slim Fit Royal Suit,True
178268,/jacket-178268.html,RAINS,Jacket,True
896268,/combo-original-jacket-896268.html,Deadwood,Combo Original Jacket,True
570196,/livorno-slim-fit-navy-suit-570196.html,Kelly Country,Livorno Slim Fit Navy Suit,True
1096208,/blake-wool-blend-blazer-1096208.html,Oxford,Blake Wool Blend Blazer,True
1100503,/essentials-down-jacket-1100503.html,adidas Performance,Essentials Down Jacket,True
545298,/wellington-bomber-jacket-545298.html,Staple Superior,Wellington Bomber Jacket,True
824242,/the-trucker-jacket-824242.html,Levi's,The Trucker Jacket,True
612510,/harrington-jacket-612510.html,Ben Sherman,Harrington Jacket,True
1055825,/jacket-1055825.html,RAINS,Jacket,True
992787,/myshelter-parley-rain-rdy-jacket-992787.html,adidas Performance,MyShelter Parley RAIN.RDY Jacket,True
1145319,/big-trefoil-abstract-poly-track-top-1145319.html,adidas Originals,Big Trefoil Abstract Poly Track Top,True
1206495,/baseball-hooded-coach-jacket-1206495.html,Superdry,Baseball Hooded Coach Jacket,True
1112084,/manchester-black-coat-1112084.html,Jack London,Manchester Black Coat,True
574302,/alvin-jacket-574302.html,Jack &amp; Jones,Alvin Jacket,True
1083298,/formal-plaid-blazer-1083298.html,Gieves and Hawkes,Formal Plaid Blazer,True
1163463,/becks-blazer-1163463.html,yd.,Becks Blazer,True
1069604,/hyperia-zoned-jacket-men-s-1069604.html,Icebreaker,Hyperia Zoned Jacket - Men's,True
1101081,/blake-wool-blend-blazer-1101081.html,Oxford,Blake Wool Blend Blazer,True
880985,/cortez-blazer-880985.html,Staple Superior,Cortez Blazer,True
1130638,/cabin-jacket-1130638.html,Wrangler,Cabin Jacket,True
1110856,/carpio-jacket-1110856.html,Ellesse,Carpio Jacket,True
1164770,/rodney-jacket-1164770.html,Justin Cassin,Rodney Jacket,True
1029651,/dri-fit-full-zip-yoga-training-hoodie-1029651.html,Nike,Dri-FIT Full-Zip Yoga Training Hoodie,True
178274,/long-jacket-178274.html,RAINS,Long Jacket,True
1124445,/burgundy-bradshaw-blazer-1124445.html,Jack London,Burgundy Bradshaw Blazer,True
1029608,/essential-running-jacket-1029608.html,Nike,Essential Running Jacket,True
540452,/train-core-down-vest-540452.html,Emporio Armani EA7,TRAIN CORE DOWN VEST,True
1139547,/padded-frontier-canvas-parka-1139547.html,Assembly Label,Padded Frontier Canvas Parka,True
1015498,/dom-slim-suit-jacket-1015498.html,Double Oak Mills,Dom Slim Suit Jacket,True
1075819,/victor-funnel-neck-jacket-1075819.html,SABA,Victor Funnel Neck Jacket,True
1014856,/venture-2-jacket-1014856.html,The North Face,Venture 2 Jacket,True
816278,/lombardy-jacket-816278.html,Ellesse,Lombardy Jacket,True
1110356,/damazing-jacket-1110356.html,HUGO,Damazing Jacket,True
906678,/jacket-906678.html,RAINS,Jacket,True
